grievance_text,predicted_probability,severity
having packet loss happening continuously bhai,1.96E-06,Low
please check dns not resolving from last night kya masla hai,2.10E-06,Low
disconnecting again and again what is this,1.90E-06,Low
facing router problem since long time yaar,1.95E-06,Low
disconnecting again and again since morning kya masla hai,1.90E-06,Low
please check keeps dropping what is this,2.01E-06,Low
still data loss problem kya ho raha hai,1.98E-06,Low
please check lag trouble from last night,2.01E-06,Low
keeps dropping since long time bhai,1.91E-06,Low
lag trouble from last night since long time yaar,1.90E-06,Low
please check cannot access sites from last night,2.01E-06,Low
please check having ping too high continuously bhai,2.06E-06,Low
please check internet very slow since morning bhai,2.66E-06,Low
still ping too high bhai,1.97E-06,Low
wifi down what is this kya ho raha hai,0.99999857,High
still disconnecting again and again since long time kya ho raha hai,1.96E-06,Low
no connection not resolved yet,0.99999857,High
keeps dropping pls fix since long time,1.91E-06,Low
please check internet not running from last night yaar,0.99999845,High
buffering trouble pls fix since long time kya ho raha hai,1.91E-06,Low
please check speed is low pls fix,2.02E-06,Low
delay in response pls fix since long time bhai,1.92E-06,Low
please check lag problem since morning kya ho raha hai,2.00E-06,Low
net not wrkng from last night bhai,0.99999845,High
ping too high again bhai,1.92E-06,Low
please check router not working from last night kya ho raha hai,2.23E-06,Low
please check having net very slow continuously yaar,2.20E-06,Low
wifi very slow what is this,2.82E-06,Low
wifi down pls fix kya ho raha hai,0.99999857,High
please check internet gone what is this,0.99999845,High
having router problem continuously kya ho raha hai,1.96E-06,Low
speed is low from last night bhai,1.92E-06,Low
data loss issue from last night kya masla hai,1.93E-06,Low
still data loss trouble kya masla hai,1.98E-06,Low
having unstable connection continuously since long time bhai,2.04E-06,Low
please check net too slow kya masla hai,2.14E-06,Low
having buffering problem continuously since long time kya ho raha hai,1.96E-06,Low
ping too high since long time bhai,1.91E-06,Low
having data loss problem continuously,1.97E-06,Low
please check router problem bhai,2.00E-06,Low
still data loss trouble since long time,1.97E-06,Low
please check unstable connection again kya ho raha hai,2.28E-06,Low
internet gone from last night bhai,0.99999857,High
speed is low again since long time bhai,1.92E-06,Low
please check still net slow yaar,2.44E-06,Low
having data loss trouble continuously kya ho raha hai,1.97E-06,Low
router problem what is this yaar,1.91E-06,Low
lag issue again bhai,1.91E-06,Low
facing net lagging since long time yaar,2.37E-06,Low
internet very very slow again,2.19E-06,Low
connection gone again,0.99999857,High
having speed is low continuously since long time,1.96E-06,Low
router not functioning bhai,1.95E-06,Low
wifi down what is this since long time,0.99999857,High
please check wifi down bhai,0.99999845,High
please check no connection,0.99999845,High
please check speed is low not resolved yet kya ho raha hai,2.03E-06,Low
unstable connection since morning bhai,1.99E-06,Low
please check having wifi down continuously kya ho raha hai,0.99999845,High
please check keeps dropping not resolved yet,2.02E-06,Low
wifi not working what is this bhai,0.99999857,High
having keeps dropping continuously,1.97E-06,Low
still packet loss happening,1.98E-06,Low
having packet loss happening continuously since long time kya masla hai,1.97E-06,Low
please check still buffering trouble kya ho raha hai,2.11E-06,Low
please check disconnecting again and again kya masla hai,2.01E-06,Low
ping too high since morning since long time bhai,1.92E-06,Low
router not working again since long time,1.95E-06,Low
disconnecting again and again bhai,1.90E-06,Low
router not running not resolved yet bhai,1.93E-06,Low
still internet not running since long time kya masla hai,0.99999845,High
please check no connection what is this bhai,0.99999845,High
please check net very slow not resolved yet yaar,2.12E-06,Low
net slow from last night since long time bhai,2.04E-06,Low
router not functioning pls fix since long time yaar,1.95E-06,Low
please check disconnecting again and again what is this bhai,2.01E-06,Low
wifi down not resolved yet since long time,0.99999857,High
having router not functioning continuously since long time bhai,2.00E-06,Low
router not functioning from last night since long time kya masla hai,1.94E-06,Low
speed is low not resolved yet yaar,1.92E-06,Low
still keeps dropping yaar,1.98E-06,Low
please check disconnecting again and again not resolved yet bhai,2.01E-06,Low
having packet loss happening continuously since long time bhai,1.96E-06,Low
having no connection continuously since long time yaar,0.99999857,High
ping too high from last night kya ho raha hai,1.92E-06,Low
router problem what is this,1.91E-06,Low
wifi down what is this kya ho raha hai,0.99999857,High
still keeps dropping,1.99E-06,Low
keeps dropping since long time yaar,1.91E-06,Low
please check wifi down what is this,0.99999845,High
having internet very too slow continuously pls fix,2.19E-06,Low
data loss issue what is this,1.93E-06,Low
please check buffering issue what is this,2.00E-06,Low
keeps dropping from last night bhai,1.91E-06,Low
net very slow again since long time,2.00E-06,Low
facing disconnecting again and again bhai,1.95E-06,Low
please check internet gone pls fix yaar,0.99999845,High
lag problem pls fix since long time,1.90E-06,Low
having unstable connection continuously yaar,2.06E-06,Low
speed is low kya masla hai,1.93E-06,Low
please check unstable connection not resolved yet,2.31E-06,Low
disconnecting again and again since morning yaar,1.90E-06,Low
having lag problem continuously,1.97E-06,Low
ping too high what is this bhai,1.92E-06,Low
please check having keeps dropping continuously,2.08E-06,Low
net not working pls fix yaar,0.99999845,High
having net not working continuously,0.99999845,High
please check unstable connection pls fix bhai,2.37E-06,Low
wifi down again kya ho raha hai,0.99999857,High
facing internet very slow since long time,2.33E-06,Low
internet very too slow since long time,2.21E-06,Low
router problem what is this yaar,1.91E-06,Low
having internet very lagging continuously yaar,2.71E-06,Low
please check still keeps dropping yaar,2.10E-06,Low
please check data loss issue since morning kya ho raha hai,2.00E-06,Low
please check net gone since morning bhai,0.99999845,High
dns not resolving pls fix since long time bhai,1.94E-06,Low
net slow what is this kya masla hai,2.04E-06,Low
connection not working again kya masla hai,0.99999857,High
please check net lagging again yaar,2.75E-06,Low
no connection from last night bhai,0.99999857,High
please check packet loss happening,2.00E-06,Low
please check keeps dropping from last night yaar,2.01E-06,Low
please check data loss issue from last night bhai,2.00E-06,Low
facing wifi very slow since long time kya ho raha hai,2.88E-06,Low
still router problem kya masla hai,1.97E-06,Low
please check facing delay in response,2.08E-06,Low
internet not working from last night,0.99999857,High
router not wrkng not resolved yet yaar,1.95E-06,Low
still delay in response,1.98E-06,Low
please check disconnecting again and again from last night kya ho raha hai,2.02E-06,Low
keeps dropping not resolved yet since long time kya ho raha hai,1.92E-06,Low
still internet not working since long time bhai,0.99999845,High
unstable connection from last night,2.00E-06,Low
please check still no connection yaar,0.99999845,High
speed is low not resolved yet kya ho raha hai,1.93E-06,Low
unstable connection from last night,2.00E-06,Low
dns not resolving since morning since long time bhai,1.94E-06,Low
please check wifi down again kya ho raha hai,0.99999845,High
router not running not resolved yet since long time yaar,1.93E-06,Low
still no connection since long time,0.99999857,High
wifi very slow from last night bhai,2.99E-06,Low
packet loss happening pls fix since long time,1.91E-06,Low
having no connection continuously yaar,0.99999857,High
please check lag issue not resolved yet kya ho raha hai,2.02E-06,Low
having delay in response continuously since long time yaar,1.96E-06,Low
buffering problem pls fix,1.92E-06,Low
internet gone what is this kya ho raha hai,0.99999857,High
delay in response pls fix bhai,1.92E-06,Low
please check having no connection continuously yaar,0.99999845,High
unstable connection what is this,1.98E-06,Low
facing no connection since long time yaar,0.99999857,High
please check facing net slow,2.39E-06,Low
data loss problem again since long time,1.92E-06,Low
having packet loss happening continuously yaar,1.96E-06,Low
facing internet not running since long time,0.99999845,High
internet very slow not resolved yet yaar,2.39E-06,Low
still lag issue kya ho raha hai,1.97E-06,Low
facing keeps dropping,1.98E-06,Low
having net very slow continuously,2.02E-06,Low
net gone again,0.99999857,High
buffering trouble not resolved yet yaar,1.91E-06,Low
facing unstable connection kya ho raha hai,2.14E-06,Low
router problem pls fix since long time kya ho raha hai,1.90E-06,Low
intrnet gone pls fix kya ho raha hai,0.99999857,High
router not working what is this bhai,1.95E-06,Low
please check ping too high pls fix yaar,2.00E-06,Low
packet loss happening what is this since long time kya ho raha hai,1.92E-06,Low
please check still packet loss happening,2.06E-06,Low
delay in response what is this since long time,1.92E-06,Low
please check no connection since morning kya ho raha hai,0.99999845,High
keeps dropping again,1.92E-06,Low
keeps dropping pls fix,1.92E-06,Low
disconnecting again and again bhai,1.90E-06,Low
please check data loss trouble pls fix kya ho raha hai,2.01E-06,Low
speed is low pls fix bhai,1.92E-06,Low
wifi down again,0.99999857,High
please check lag problem pls fix bhai,2.00E-06,Low
still packet loss happening yaar,1.97E-06,Low
internet very slow again since long time kya ho raha hai,2.29E-06,Low
no connection since morning yaar,0.99999857,High
still connection gone yaar,0.99999845,High
please check no connection pls fix bhai,0.99999845,High
please check still data loss issue bhai,2.06E-06,Low
still router problem yaar,1.97E-06,Low
internet very slow what is this,2.30E-06,Low
buffering problem not resolved yet since long time kya ho raha hai,1.91E-06,Low
speed is low,1.94E-06,Low
please check internet very too slow yaar,2.48E-06,Low
facing router problem since long time bhai,1.95E-06,Low
please check keeps dropping what is this,2.01E-06,Low
disconnecting again and again what is this since long time kya ho raha hai,1.90E-06,Low
having no connection continuously yaar,0.99999857,High
dns not resolving not resolved yet kya ho raha hai,1.95E-06,Low
disconnecting again and again from last night since long time kya ho raha hai,1.91E-06,Low
internet gone since morning kya ho raha hai,0.99999857,High
net slow again kya masla hai,2.04E-06,Low
please check keeps dropping since morning bhai,2.01E-06,Low
no connection again kya ho raha hai,0.99999857,High
please check internet not working from last night bhai,0.99999845,High
